"","SP500","FTSE100"
"705",481.76,901.59
"706",481.85,898.28
"707",482.16,888.41
"708",484.67,894.69
"709",488.54,895.18
"710",489.15,914.13
"711",489.38,924.58
"712",488.47,928.58
"713",487.89,932.81
"714",492.41,929.98
"715",492.89,932.8
"716",494.83,926.08
"717",495.69,923.06
"718",493.13,928.58
"719",498.08,939.61
"720",494.89,945.78
"721",491.7,940.82
"722",493.49,947.76
"723",492.81,944.78
"724",494.05,942.17
"725",494.11,948.96
"726",498.34,942.69
"727",499.17,953.12
"728",498.69,942.94
"729",496.75,938.12
"730",495.2,937.89
"731",499.44,946.54
"732",500.37,947.33
"733",504,956.49
"734",502.26,953.22
"735",505.35,954.73
"736",507.26,948.67
"737",507.26,959.82
"738",508.42,966.38
"739",509.92,973.7
"740",509.42,978.41
"741",508.43,968.73
"742",508.49,971.03
"743",511.07,967.1
"744",514.98,965.4
"745",516.99,970.76
"746",515.58,964.19
"747",514.39,955.91
"748",513.33,951.99
"749",512.3,956.45
"750",512.03,955.14
"751",510.79,960.33
"752",515.45,962.93
"753",522.38,980.37
"754",521.7,986.72
"755",521.24,998.74
"756",519.74,993.67
"757",520.89,993.68
"758",520.89,993.68
"759",520.19,993.68
"760",518.83,1000.77
"761",519.84,995.38
"762",516.18,1000
"763",516.18,1000
"764",516,1006.42
"765",514.86,996.61
"766",515.08,993.93
"767",510.58,990.59
"768",508.6,984.51
"769",510.9,975.43
"770",511.01,969.98
"771",513.41,965.55
"772",516.86,970.44
"773",518.35,972.52
"774",517.98,972.28
"775",515.97,963.3
"776",513.88,967.21
"777",516.4,975.87
"778",517.13,978.65
"779",521.87,975.37
"780",521.86,997.82
"781",519.68,996.7
"782",520.33,991.21
"783",520.49,987.79
"784",525.03,1003.46
"785",525.22,997.4
"786",530.75,1011.27
"787",533.89,1008.49
"788",533.19,1007.43
"789",532.13,1009.93
"790",529.26,996.31
"791",530.36,991.07
"792",532.07,997.37
"793",528.52,1000.43
"794",528.52,1002.55
"795",515.92,990.67
"796",515.22,991.31
"797",513.59,999.66
"798",516.37,1000.47
"799",517.7,999.87
"800",517.3,992.72
"801",524.56,992.36
"802",526.32,996.49
"803",527.59,1010.33
"804",526.07,1018.85
"805",533.21,1018.74
"806",534.95,1031.57
"807",532.72,1026.7
"808",531.37,1032.81
"809",541.67,1045.25
"810",541.43,1042.64
"811",543.73,1045.04
"812",540.64,1043.87
"813",536.02,1030.62
"814",537.95,1035.81
"815",537.92,1034.71
"816",534.3,1024.29
"817",538.57,1020.67
"818",536.53,1027.9
"819",534.99,1015.07
"820",534.85,1014.08
"821",534.03,1013.9
"822",537.62,1011.14
"823",533.93,1011.17
"824",537.59,1013.59
"825",539.06,1018.76
"826",538.72,1025.06
"827",537.09,1024.95
"828",526.71,1021.93
"829",527.85,1011.33
"830",526.5,1008.98
"831",528.37,1005.38
"832",527.35,1005.27
"833",527.35,1005.27
"834",535.15,1005.27
"835",536.17,1014.45
"836",535.5,1012.78
"837",535.23,1011.92
"838",535.88,1006.47
"839",534.16,1010.49
"840",531.36,1019.81
"841",529.6,1024.63
"842",524.86,1028.73
"843",521.72,1015.41
"844",517.68,1007.74
"845",523.09,1011.45
"846",523.1,998.81
"847",524.14,995.06
"848",525.7,1004.45
"849",528.55,1004.45
"850",530.59,1004.27
"851",531.25,998.53
"852",529.88,994.88
"853",528.98,997.53
"854",529.86,1012.35
"855",531.76,1014.61
"856",532.31,1023.44
"857",525.68,1019.33
"858",526.37,1018.51
"859",527.47,1022.48
"860",527.49,1018.62
"861",536.2,1008.74
"862",539.84,1007.7
"863",534.16,1006.06
"864",536.87,1013.09
"865",538.02,1017.42
"866",543.54,1020.72
"867",542.31,1023.73
"868",539.76,1018.5
"869",539.76,1018.5
"870",544.2,1021.55
"871",544.41,1026.5
"872",542.82,1022.84
